Farm Name,Primary Farm Type,Address Line 1,City,County,Zip Code,Phone Number,Website URL,
Allen Vineyards,Vineyard,8310 Hawley St,Westfield,Chautauqua,14787,(716) 533 9379,,
Anthony Road Wine Co.,Vineyard,1020 Anthony Road,Penn Yan,Yates,14527,(315) 536 2182,anthonyroadwine.com,
Becker Farms & Vizcarra Vineyards,Orchard,3724 Quaker Rd,Gasport,Niagara,14067,(716) 772 2211,beckerfarms.com,
Boundary Breaks LLC,Vineyard,1568 Porter Covert Road,Lodi,Seneca,14860,(607) 474 5030,boundarybreaks.com,
Deerlick Farm,Vineyard,"2066 Deerlick Road, Cape Vincent, NY 13618",CAPE VINCENT,New York,13618,(131) 565 43218,thecapewinery.com,
DeMaison Farms Partnership,Vineyard,3617 Lower Mountain Road,Sanborn,Niagara,14132,(716) 731 3316,longcliffwinery.com,
Doyle Vineyard Management, LLC,Vineyard,10223 Middle Rd. PO Box 476,Hammondsport,Albany,14890,(607) 868 3245,doylevineyard.com
Eggert Farms,Vineyard,,,,(716) 753 0556,,,
Fox Run Vineyards,Vineyard,670 State Route 14,Penn Yan,Yates,14527,(315) 536 4616,foxrunvineyards.com,
Hermann J Wiemer Vineyard,Vineyard,3962 Route 14,Dundee,Yates,14837,(607) 243 7971,wiemer.com,
Hubert Vineyards,Vineyard,5192 Webster Road,Fredonia,Chautauqua,14063,(716) 861 8041,,
Hunt Country Vineyards,Vineyard,4021 Italy Hill Rd.,Branchport,New York,14418,(315) 595 2812,huntwines.com,
John Izzo,Vineyard,6634 Cayuga Rd,Cayuga,Cayuga,13034,(315) 406 7446,izzoswhitebarnwinery.com,
Keuka Spring Vineyards, LLC,Vineyard,"243 Rt 54, East Lake Rd",Penn Yan,New York,14527,(315) 536 3147,keukaspringwinery.com
Knight Vineyards, LLC,Vineyard,64 Maple Ave,Ripley,New York,14775,(716) 736 9249,
McGregor Vineyard,Vineyard,5503 Dutch Street,Dundee,Yates,14837,(800) 272 0192,mcgregorwinery.com,
Merritt Estate Winery,Vineyard,2264 King Rd.,Forestville,Albany,14065,(188) 896 54800,marrittestatewinery.com,
Mudds Vineyard Ltd,Vineyard,39005 County Road 48,Southold,Suffolk,11971,(631) 765 1248,,
Otter Creek Winery,Vineyard,33109 Rudes Road,PHILADELPHIA,Jefferson,13673,(315) 642 0622,ottercreekwinery.com,
Pine View,Vineyard,6600 Fribolin Road,Naples,Ontario,14512,,,
Piranha Vineyards,Vineyard,P.O. Box 212,Sheridan,Chautauqua,14135,(716) 467 5601,,
Prejean Winery,Vineyard,2634 State Route 14,Penn Yan,Yates,14527,(315) 536 7524,prejeanwinery.com,
Rasta Ranch Vineyards,Vineyard,5882 Rt 414,Hector,Albany,14841,(607) 546 2974,rastaranchvineyards.com,
Shalestone Vineyards LLc,Vineyard,9681 Rte. 414,Lodi,Seneca,14860,(607) 582 6600,shalestonevineyards.com,
Sheldrack Point Winery,Vineyard,N/A,Ovid,Seneca,14521,,,
Shirk's Produce,Vineyard,3006 Old Bath Rd.,Penn Yan,Yates,14527,(310) 536 5824,,
Steve St George,Vineyard,3689 Webster Road,Fredonia,Chautauqua,14063,(716) 672 2488,,
STG Land Holdings, LLC,Vineyard,3689 Webster Road,Fredonia,Chautauqua,14063,(716) 672 2488,
Stoutridge Vineyard, LLC,Vineyard,10 Ann Kaley Lane,Marlboro,Ulster,12542,(845) 236 7620,stoutridge.com
Thirsty Owl Wine Company,Vineyard,679 Elm Beach Rd,Ovid,Seneca,14521,(607) 869 5805,thirsytowl.com,
Thousand Islands Winery,Vineyard,43298 Seaway Ave,Alexandria Bay,New York,13607,(315) 482 9306,thousandislandswinery.com,
Three Brothers Wineries & Estates,Vineyard,623 Lerch Rd.,Geneva,Seneca,14456,(315) 585 4432,3brotherswinery.com,
Treleaven Wines,Vineyard,658 Lake Rd.,King Ferry,Cayuga,13081,(315) 364 5100,trelevenwines.com,
Twisted Vineyards,Vineyard,9190 Forsyth Rd,Ripley,New York,14775,(171) 675 30108,,
Vesco Ridge Vineyards, LLC,Vineyard,167 Stratton Hill Road,West Chazy,New York,12992,(518) 846 8544,vescoridge.com
Walkers Wine Juice LLC,Orchard,2860 Rte 39,Forestville,Chautauqua,14062,(716) 679 1293,walkerswinejuice.com,
Yates Cellars,Vineyard,3170 State Route 54A,Bluff Point,Yates,14478,(315) 575 1863,yatescellars.com,
